Abréviation,Raison sociale,Nom,Spécialité,Catégorie pour la cartographie,Domaine d’études,Localité,Département,Région,Rattachement,Commentaires,Exclusif aux doctorant.e.s/docteur.e.s,Site internet,"Pages
réseaux",Contact,"Toujours en
activité ?",Commentaires prise de contact,"Représentation
sur la carte",,,,,,,,,
"Collectif des
travailleur·e·s
précaires de
l’ESR -
Marseille",Collectif,Collectif des travailleur·e·s précaires de l’ESR - Marseille,Défense des droits,Défense des droits,Tous,Marseille,,(13) Bouches-du-Rhône,,PACA,,Université d'Aix-Marseille,,"Collectif des travailleur.se.s précaires de l'Enseignement Supérieur et de la Recherche
d'Aix-Marseille.",Non,- - -,,"Twitter
Facebook",,aixmarseilleprecairesESR@proto,,Oui,,,,Oui
Eurodoc,Fédération européenne,European council of doctoral candidates and young researchers,"Droits, promotion, valorisation des programmes...",Générale,Tous,"Bruxelles, Belgique",,"Bruxelles, Belgique",,"Bruxelles, Belgique",,- - -,,"Eurodoc is the European Council of Doctoral Candidates and Junior Researchers. It is
an international federation of 26 national organisations of PhD candidates, and more
generally of junior researchers from 24 countries of the European Union and the Council
of Europe.",Oui,http://eurodoc.net,,"Twitter
Facebook
Instagram
Linked In
YouTube",,board@eurodoc.net,,Oui,,,,Oui
"Ghjuventù
Paolina",Syndicat,Ghjuventù Paolina,"Défense des droits, revendication politique nationaliste corse",Défense des droits,Tous,Corte,,(2B) Haute-Corse,,Corse,,"Pasquale Paoli (seule université
de Corse)",,"Notre engagement sur les campus cortenais a pour but de développer l'Université de
Corse. Par ailleurs, nous réaffirmons notre appartenance à la mouvance nationaliste, et
plus particulièrement à la Lutte de Libération Nationale, seule à même de garantir la
préservation de notre identité, de notre patrimoine et de notre avenir. Cependant, nous
estimons que l'Université de Corse se doit d'être un lieu d'égalité, de réflexion, et de
réponse aux enjeux que rencontrera la société corse de demain, mais aussi un lieu de
diversité culturelle, accessible à tous et ouvert sur le monde. Ainsi, nous n'aurons de
cesse de veiller au bien-être de tous les étudiants, sans distinction d'origine ou idéal
politique. Nous n'aurons de cesse de lutter en faveur du rayonnement et de l'attractiv ité
de l'Université, en tentant d'attirer chercheurs et professeurs de renom.",Non,- - -,,"Twitter
Facebook
Instagram",,"paolina.ghjuventu@gmail.com
06.70.50.13.77",,Oui,,,,Oui
Hippo’thèse,Association,Hippo’thèse,"Solidarité, entraide, réseau, événements",Générale,Sciences médicales et de la v ie,Marseille,,(13) Bouches-du-Rhône,,"Provence-Alpes-Côte
d’Azur",,"Basé à l'Université d'Aix-
Marseille",,"1) Federate the local community of junior researchers.
2) Support the junior researchers asking for our help.
3) Improve the status of the PhD within the academic and private sectors.
4) Facilitate the professional continuity of junior PhDs.",Oui,https://hippothese.asso.fr/association/about/,,"Twitter
Facebook",,contact@hippothese.asso.fr,,Oui,,Réponse le 20/01/23,,Oui
JECCO,Association,Jeunes chercheurs de l’institut Cochin,"Réseau, événements",Générale,Biomédical,Paris,,(75) Paris,,Île-de-France,,Institut Cochin,,"Favoriser l’intégration des jeunes de l’Institut dans la communauté scientifique et de
constituer un réseau. Elle permet également à tous les personnels de l'Institut qu’ils
soient chercheur‧e‧s ou non d’avoir une part active dans la v ie de l’institut au travers
d’animations et d’événements scientifiques.",Oui,https://jeccoteam.wixsite.com/jecco,,"Twitter
Facebook
LinkedIn
Instagram",,bureau-jecco.u1016@inserm.fr,,Oui,,,,Oui
JEDNs,Conférence,Journées de l’Ecole Doctorale de Nice,Conférence pour présenter ses travaux,Générale,Sciences de la v ie et de la santé,Nice,,(06) Alpes-maritimes,,"Provence-Alpes-Côte
d’Azur",,"Ecole doctorale Sciences de la
v ie et de la santé (ED SVS),
Université Côte d’Azur",,"Association des Doctorants de l’Ecole doctorale Sciences de la v ie et de la santé (ED
SVS). The purpose of the JEDNs is to provide PhD students with an opportunity to
present their work, develop scientific  interactions, open up their research and discover
new topics addressed in the different laboratories of the Nice area.",Oui,https://jedns-bio.fr/,,"Twitter
Facebook",,adbio.nice@jedns-bio.fr,,Oui,,,,Oui
JRA,Association,Jeune Recherche en Artois,Aide générale,Générale,Tous,"Arras
(Douai, Béthune, Lens,
Levain)",,(62) Pas-de-Calais,,Hauts-de-France,,Université d’Artois (Arras),,"Objectif de rassembler les doctorant·e·s de l'Université d'Artois et les représenter. 3
axes de travail :
- information et représentation des jeunes chercheur.e.s au sein de différentes
institutions
- rencontre et socialisation des jeunes chercheur.e.s
- échange scientifique et valorisation de la recherche",Oui,- - -,,Facebook,,jeunerechercheartois@gmail.com,,Oui,,"Répondu le 19/01/23 : toujours
actifs mais pour 1 ou 2 ans, faute de
chercheurs prêts à reprendre le
flambeau.",,Oui
"Layons de la
Recherche",Association,Layons de la Recherche,"Réseau, soutien, promotion, valorisation",Générale,Tous,"Campus Troubiran,
Cayenne",,(973) Guyane,,Guyane,,Université de Guyane,,"Promouvoir la recherche universitaire, organiser, développer et diffuser des projets
scientifiques (organisations de manifestations, animations socio-culturelles, ateliers,
conférences, colloques, séminaires, publications, etc ;) être un espace de recherche,
de concertation et de cohésion sociale.",Non,https://www.helloasso.com/associations/layons-de-,,- - -,,layonsdelarecherche@gmail.com,,Oui,,,,Oui
"Les Têtes
Chercheuses",Association,Les Têtes Chercheuses,"Réseau, information",Générale,"Lettres, langues, linguistique, Arts",Lyon,,(69) Rhône,,Auvergne-Rhône-Alpes,,Lyon 2 - Ecole doctorale 3LA,,Association de doctorants de l'école doctorale 3LA à Lyon.,Oui,"https://teteschercheuses.hypotheses.org/
(En cours de rénovation)",,Twitter,,teteschercheuses.lyon@gmail.co,,Oui,,Réponse le 19/01/23,,Oui
LUCA,Association,Association des doctorants de l'Ecole Doctorale BS de Rennes,"Représentation, réseau, promotion",Générale,Sciences de la v ie et de la santé,Rennes,,(35) Ille-et-Vilaine,,Bretagne,,"Ecole doctorale Biologie Santé
de Rennes",,"LUCA est une association qui représente tous les doctorants de l'école doctorale
Sciences de la Vie et de la Terre.",Oui,- - -,,"Twitter
Facebook",,associationdoctorants.luca@gmail,,Oui,,,,Oui
Ma thèse émoi,Association,Ma thèse émoi,"Soutiens multiples pendant la thèse, solidarité",Soutien à la rédaction,Tous,Grenoble (Valence),,(38) Isère,,Auvergne-Rhône-Alpes,,"Principalement actifs à
l'université Grenobles-Alpes
(Grenoble + Valence) ainsi que
structures privées",,"Notre association repose sur trois valeurs : bienveillance, confidentialité et solidarité.
Nous intervenons principalement dans la v ille de Grenoble, mais s i tu as des questions
et que tu habites dans une autre v ille, on essaiera d’y répondre également.",Oui,https://mathese-emoi.fr/,,- - -,,Formulaire sur le s ite,,Oui,,Réponse le 19/01/23,,Oui
MeTooFac,Collectif,MeTooFac,Défense des droits (v iolences sexistes et sexuelles),Luttes contre le harcèlement et les v iolences morales et sexuelles,Tous,National,,National,,National,,- - -,,Dénonçons les v iolences sexistes et sexuelles au sein de nos facs.,Non,- - -,,"Twitter
Facebook
Instagram",,metoofac@outlook.fr,,Oui,,,,Oui
"Nan-Thèse
ADBS",Association,Nan-Thèse Association Doctorants Biologie-Santé,"Réseau, information, événements",Générale,Biosanté,Nantes,,(44) Loire-Atlantique,,Pays-de-la-Loire,,Université de Nantes,,Association des Doctorants en Biologie-Santé de Nantes.,Oui,- - -,,"Facebook
LinkedIn
Instagram",,asso-nanthese@univ-nantes.fr,,Oui,,,,Oui
Nicomaque,Association,Nicomaque,"Réseau, promotion, événements",Générale,Tous,Rennes,,(35) Ille-et-Vilaine,,Bretagne,,- - -,,Association des Doctorants et Docteurs Bretons.,Oui,https://www.nicomaque-bretagne.fr/,,"Twitter
Facebook",,nicomaque.bretagne@gmail.com,,Oui,,Réponse le 20/01/23,,Oui
"Normandie
Doc’",Association,Normandie Doc’,"Réseau, solidarité",Générale,"Sciences humaines et sociales, Sciences Technologies et Santé","Caen
(Rouen, Le Havre)",,"Calvados, Eure, Manche,
Orne, Seine-Maritime",,Normandie,,- - -,,"Un des objectifs de l’association est de promouvoir les différentes spécialités de
doctorat et de rassembler les doctorants de Sciences Humaines et Sociales (SHS) et les
Sciences Technologies et Santé (STS) lors d’événements et de manifestations
pertinentes, organisés à l’échelle régionale ou locale dans des villes pôles de la région
Normandie.
Par la mise en réseau des doctorants et des docteurs, l’association soutiendra les
doctorants dans leurs parcours et valorisera les travaux des jeunes chercheurs au
travers de manifestations sociales et culturelles.",Oui,https://www.normandiedoc.fr,,"Twitter
Facebook
LinkedIn",,normandiedoc@gmail.com,,Oui,,,,Oui
"P(TH)
Bretagne-
Loire",Association,Paren(Thèse) Bretagne-Loire,Soutien à la rédaction et aux doctorants,Soutien à la rédaction,Tous,Angers,,(49) Maine-et-Loire,,"Bretagne, Centre-Val-
de-Loire, Pays-de-la-
Loire",,- - -,,Antenne des régions de l’Ouest de la France.,Non,https://pthbl.weebly.com/,,Facebook,,parenthese.grandouest@gmail.co,,Oui,,,,Oui
"P(TH) Grand-
Est",Association,Paren(Thèse) Grand-Est,Soutien à la rédaction et aux doctorants,Soutien à la rédaction,Tous,"Metz
(Mulhouse, Reims,
Strasbourg, Nancy)",,(57) Moselle,,Grand-Est,,- - -,,Antenne de la région Grand-Est,Non,- - -,,Facebook,,parenthese.grandest@gmail.com,,Oui,,,,Oui
P(TH) IdF,Association,Paren(Thèse) Île-de-France,Soutien à la rédaction et aux doctorants,Soutien à la rédaction,Tous,Paris,,(75) Paris,,Île-de-France,,- - -,,"L’association Parenthèse Île-de-France propose aux doctorant.e.s et étudiant.e.s de
master sans condition de discipline ou de stade d’avancement de la thèse ou du
mémoire, des journées et retraites de rédaction dédiées au travail de recherche et à la
rédaction de toute production scientifique dans un cadre favorisant la productiv ité. Il
s’agit d’un temps réservé pour la lecture d’artic les et d’ouvrages, l’écriture d’artic les, la
rédaction de chapitres de thèse ou de mémoire, l’élaboration d’un plan détaillé, la
production de poster, etc.",Non,https://parentheseidf.wordpress.com/a-propos/,,"Twitter
Facebook
Instagram
YouTube",,parenthese.idf@gmail.com,,Oui,,,,Oui
"P(TH)
Nouvelle-
Aquitaine",Association,Paren(Thèse) Nouvelle-Aquitaine,Soutien à la rédaction et aux doctorants,Soutien à la rédaction,Tous,La Rochelle,,(17) Charente-maritime,,Nouvelle-Aquitaine,,- - -,,Antenne de la région Nouvelle Aquitaine,Non,- - -,,"Twitter
Facebook
LinkedIn",,parenthese.nouvelleaquitaine@g,,Oui,,,,Oui
"P(TH)
Occitanie",Association,Paren(Thèse) Occitanie,Soutien à la rédaction et aux doctorants,Soutien à la rédaction,Tous,Montpellier,,(34) Hérault,,Occitanie,,- - -,,"Association qui soutient les jeunes chercheurs lors de la rédaction d’une thèse ou
mémoire. Nous proposons des journées et séjours de rédaction qui combinent temps
de rédaction et partage d’expériences avec des personnes qui font face aux mêmes
défis.",Non,- - -,,"Twitter
Facebook
LinkedIn",,contact@la-parenthese.org,,Oui,,,,Oui
P(TH) PACA,Association,Paren(Thèse) Provence-Alpes-Côte d’Azur,Soutien à la rédaction et aux doctorants,Soutien à la rédaction,Tous,Nice,,(06) Alpes-maritimes,,"Provence-Alpes-Côte
d’Azur",,- - -,,Antenne de la région PACA,Non,- - -,,"Twitter
Facebook
LinkedIn",,parenthese.paca@gmail.com,,Oui,,,,Oui
"PHD
FA'ATORO",Association,PHD FA'ATORO,"Réseau, soutien, promotion, valorisation",Générale,Tous,"Punaauia, Tahiti",,(987) Polynésie française,,Polynésie française,,"Université de la Polynésie
française",,"Créée en 2021 par des doctorants de l'UPF et qui a pour objet : la fédération des
doctorants, la valorisation du monde de la recherche, l’organisation d’activ ités et
d’échanges interdisciplinaires, l’organisation de rencontres et d’activ ités extra-
professionnelles, l’accompagnement des futurs doctorants dans la procédure
d’inscription et tout au long de leur cursus, le maintien d’une proximité entre doctorants.","Non
(Accompagnement futurs doctorants dans leurs
démarches)",http://www.upf.pf/fr/association-des-doctorants,,- - -,,"M. VITRAC Marotea
87 726 937
maroteav@gmail.com",,Oui,,,,Oui
PhDOOC,Association,"PhDOOC
Doctorat et poursuite de carrière","Insertion professionnelle, formation","Carrière, Formation",Tous,National,,National,,National,,- - -,,"Association dont le but est d’accompagner les doctorants et les docteurs et de favoriser
la création d’une communauté. Pour cela, nous organisons le premier MOOC en France
sur la poursuite de carrière des docteurs de toutes disciplines. Notre objectif est de
construire un espace d’information, d’échange et d’entraide autour de cette thématique.",Oui,https://phdooc.com/,,"Twitter
Facebook
Instagram
LinkedIn
YouTube",,"06.21.06.88.45
phdooc@gmail.com",,Oui,,,,Oui
"Précarités de
l’ESR
mobilisées",Collectif,Précarités de l’ESR mobilisées,Défense des droits,Défense des droits,Tous,National,,National,,National,,- - -,,Mobilisation contre la précarité dans l’enseignement supérieur et la recherche.,Oui,https://appelsolennelprecaires.home.blog/,,Facebook,,appeldesprecaires@gmail.com,,Oui,,,,Oui
Résalience,Association,Résalience PHD,"Emploi post-thèse, accompagnement","Carrière, Formation",Tous,National,,National,,National,,- - -,,"Accompagnement personnalisé, témoignages et autres aides pour les diplômés des
Sciences de la Vie en recherche d’emploi.",Oui,https://resalience-phd.fr,,"Instagram
LinkedIn
YouTube",,,,Oui,,,,Oui
RogueESR,Collectif,RogueESR,"Défense des droits, promotion",Défense des droits,Tous,National,,National,,National,,- - -,,"RogueESR est un collectif créé en 2017 pour promouvoir une université et une
recherche libres, exigeantes et placées au service de l’intérêt général et de
l’émancipation.",Oui,https://rogueesr.fr/,,Twitter,,contact@rogueesr.fr,,Oui,,Réponse le 20/01/23,,Oui
"Sauvons les
SHS",Collectif,Sauvons les SHS,Défense des droits,Défense des droits,Sciences humaines et sociales,National,,National,,National,,- - -,,"Défendons ensemble le rôle décis if des sciences humaines et sociales. Enseignement
et recherche sont attaqués. Résistons !",,- - -,,"Twitter
Facebook",,- - -,,Oui,,,,Oui
StrasAIR,Association,Association of the International Researchers of Strasbourg,Etudiants étrangers de Strasbourg,Générale,Tous,Strasbourg,,(67) Bas-Rhin,,Grand-Est,,Université de Strasbourg,,"Assistance, réseau, intégration des chercheurs étrangers, valorisation de l’image de
l’Université, développement des échanges internationaux, carrière.",Oui,https://strasair.org/,,Facebook,,info@strasair.org,,Oui,,,,Oui
"Syndicat CGT
FERC Sup",Syndicat,Collectif Doctorant CGT FERC Sup (établissements d'enseignement supérieur et de recherche),Défense des droits des jeunes chercheurs,Défense des droits,Tous,National,,National,,National,,- - -,,"Il est formé entre les syndicats CGT des établissements d’Enseignement Supérieur et de
Recherche une Union nationale dénommée CGT FERC Sup, Union nationale des
syndicats CGT des établissements d’enseignement supérieur et de recherche.",Oui,https://cgt.fercsup.net/,,Twitter,,"collectif-doctorant@fercsup-
cgt.net",,Oui,,,,Oui
Thèsenvies,Association,Thèsenvies,"Réseau, événements, promotion, solidarité",Générale,"Lettres, communication, langues, art",Dijon,,(21) Côte-d’Or,,"Bourgogne-Franche-
Comté",,"Université Bourgogne Franche-
Comté
École doctorale LECLA",,"Accueillir, rassembler et mettre en relation, promouvoir la cohésion, conviv ialité et
solidarité, informer et animer les doctorants et doctorantes, les anciens doctorants et
doctorantes, ainsi que les chercheurs, et en premier lieu celles et ceux de l'ED LECLA.",Oui,- - -,,Facebook,,association.thesenvies@gmail.co,,Oui,,,,Oui
UO,Association,Université ouverte,Défense des droits et des conditions de travail et de v ie,Défense des droits,"Recherche, Enseignement",National,,National,,National,,- - -,,"Pour une recherche et un enseignement publics, gratuits et émancipateurs pour tou·tes.",Non,"https://universiteouverte.org/autodefense-
universitaire/",,"Twitter
Facebook",,universiteouverte@protonmail.co,,Oui,,,,Oui
YouR PSL,Association,Young Researcher Society of PSL,"Réseau, événements",Générale,Sciences et Lettres,Paris,,(75) Paris,,Île-de-France,,"Université Paris Sciences et
Lettres (PSL)",,"En tant que communauté d’étudiant.e.s docteur.e.s, nous proposons un forum qui facilite
l’échange, le parrainage et les opportunités de rencontrer des représentants
d’entreprises.",Oui,https://yourpsl.org/,,"Twitter
Facebook",,yourpslsociety@gmail.com,,Oui,,,,Oui
A'Doc,Association,Association des Doctorants de Franche Comté,"Réseau, événements, promotion, solidarité",Générale,Tous,Besançon,,(25) Doubs,,"Bourgogne-Franche-
Comté",,"Université Bourgogne Franche-
Comté",,"L'A'Doc est multidisciplinaire et accueille des jeunes chercheur·se·s du master 2 à
l’après-thèse. Elle a pour but de valoriser le doctorat et la recherche, d’informer les
étudiant·e·s intéressé·e·s par la formation doctorale, soutenir et créer du lien entre
jeunes chercheur·se·s, de militer pour les droits des doctorant·e·s et jeunes
docteur·e·s.",Non,- - -,,Facebook,,adoc.fcomte@gmail.com,,Non,,"Contactés le 17 mars 2023.
Pas de réponse au 27 mars 2023.",,Oui
ADDA,Association,Association des Doctorants et Docteurs d'Assas,"Réseau, promotion, solidarité, insertion professionnelle",Générale,Droit,Paris,,(75) Paris,,Île-de-France,,Paris 2 Panthéon Assas,,"L'Association des Doctorants et Docteurs d'Assas regroupe des thésards ainsi que
des docteurs issus de l'Université Panthéon-Assas (Paris 2). Née en décembre 2012,
cette jeune association a pour missions de valoriser la formation doctorale, d'informer
les doctorants sur leurs droits et de conseiller les futurs doctorants sur la voie qu'ils
s'apprêtent à emprunter. L'ADDA tend également à créer un réseau de docteurs afin de
faciliter l'insertion professionnelle de ses membres à l'issue de la thèse. Plus
modestement, elle souhaite faciliter les rencontres et les échanges entre les doctorants
afin que la thèse devienne une aventure aussi conviv iale qu'enrichissante.",Oui,"https://s ites.google.com/site/addassas/
http://adda.u-paris2.fr/",,"Twitter
Facebook",,adda.paris2@gmail.com,,Non,,"Dernière activ ité :
06/09/2018
Pas de réponse",,Oui
ADDR,Association,Association des Docteurs et Doctorants de La Réunion,"Représentation, promotion, recherche, insertion professionnelle",Générale,Tous,Saint-Denis,,(974) La Réunion,,La Réunion,,"Université de la Réunion (seule
université de l’île)",,"Créée en 2002, l’Association des Docteurs et des Doctorants de la Réunion est une
structure qui se veut fédératrice. Elle a vocation à représenter les doctorants et les
docteurs de l’Université de la Réunion, quelle que soit leur discipline. Elle est gouvernée
par deux axes: la recherche scientifique et l’insertion professionnelle des doctorants et
docteurs de la Réunion.",Oui,- - -,,- - -,,"Université de La Réunion, 15,
avenue René-Cassin, B.P. 7151",,Non,,"Dernière mention en ligne trouvée :
2016
Pas de réponse",,Oui
ADSHS,Association,Association des doctorants en sciences humaines et sociales,"Réseau, informations, promotion",Générale,Sciences humaines et sociales,Tours,,(37) Indre-et-Loire,,Centre-Val-de-Loire,,- - -,,"L'association a pour mission:
- l'accueil et l'information aux nouveaux étudiants chercheurs
- la valorisation des activ ités et des travaux des doctorants à l'intérieur et à l'extérieur du
laboratoire
- la contribution à l'amélioration des échanges entre les doctorants",Oui,http://adshs.hypotheses.org/,,- - -,,adshs37@gmail.com,,Non,,"Message d'adieu sur le blog et sur
leurs réseaux sociaux.",,Oui
ADUVSQ,Association,Association des doctorants de l'UVSQ,"Réseau, solidarité",Générale,"Sciences, ingienierie","Versailles, Saint-Quentin
en Yvelines",,(78) Yvelines,,Île-de-France,,"Université de Versailles Saint-
Quentin-en-Yvelines",,"L'ADUVSQ à pour but de permettre aux doctorants de l'UVSQ de se rencontrer et
d'échanger",Oui,- - -,,"Facebook
Twitter",,doctorantsuvsq@gmail.com,,Non,,"Dernière activ ité :
12/06/2017
Pas de réponse",,Oui
AJC,Association,Association des jeunes chercheurs en Guadeloupe,"Réseau, soutien, promotion, valorisation",Générale,Tous,"Campus Fouillole, Pointe-
à-Pitre",,(971) Guadeloupe,,Guadeloupe,,Université des Antilles,,"L'AJC vise à accueillir, intégrer, informer et aider les jeunes chercheurs à défendre
leurs intérêts tout au long de leur parcours de recherche. L'Association tient à valoriser
les travaux de recherche réalisés en Guadeloupe via la partic ipation à divers
événements scientifiques, l'organisation de journées d'échange scientifique, et aussi v ia
la collaboration avec les organisateurs de concours de vulgarisation de projets
scientifiques. Enfin, l'AJC souhaite faciliter l'insertion professionnelle des jeunes
chercheurs.","Non
(ouvert dès la L3)",https://ajcguadeloupe.wixsite.com/website,,Facebook,,ajc.guadeloupe@gmail.com,,Non,,"Dernière publication : 10/09/2021
Pas de réponse",,Oui
"Association
doctorale
Mahoraise",Association,Association doctorale Mahoraise,"Représentation, Promotion, réseau, défense des droits",Générale,Tous,Dzaoudzi,,(976) Mayotte,,Mayotte,,Centre universitaire de Mayotte,,"Représenter et défendre les droits des doctorants auprès de la direction des affaires
scolaires et universitaires de Mayotte (DASU) ; organiser des réseaux d'appui entre
doctorants, docteurs et étudiants de M2 recherche travaillant sur Mayotte et /ou
originaire de Mayotte ; mettre en place des espaces de communication scientifique tels
que des colloques, séminaires, ateliers ou publications d'artic les ou d'ouvrages ;
contribuer à la création et à la pérennisation de l'Université de Mayotte ; promouvoir les
compétences des jeunes chercheurs pour favoriser la poursuite de carrière.",Non,https://assoce.fr/waldec/W9T1001714/ASSOCIATION-,,- - -,,"19, rue Hôtel de v ille, Labattoir
97610 Dzaoudzi",,Non,,"Université de Mayotte contactée
par téléphone le 02/02/23.
L'administration n'a pas
connaissance d'association pour
les doctorants/docteurs.",,Oui
"Collectif des
doctorants.e.s
de Science
Po.",Collectif,Collectif des doctorants.e.s de Science Po.,"Réseau, information",Générale,Sciences politiques,Paris,,(75) Paris,,Île-de-France,,Sciences Po.,,"Collectif de doctorant·es de l'I.E.P. de Paris, élu·es ou non dans les différents conseils",Oui,- - -,,"Twitter
Facebook",,- - -,,Non,,"Contacté v ia le groupe Fb le
19/01/23.
Dernière activ ité : 25/01/2022
Pas de réponse",,Oui
"Collectif des
doctorants.e.s
et non
titulaires de
Lyon 2",Collectif,Collectif des doctorants.e.s et non titulaires de Lyon 2,"Représentation, Promotion, réseau, défense des droits",Générale,Sciences humaines et sociales,Lyon,,(69) Rhône,,Auvergne-Rhône-Alpes,,Lyon 2,,"S'informer, public iser, s 'organiser & lutter contre la précarisation des doctorant.e.s
De l’université Lyon 2 et de l’ESR. Pour une Université publique & ouverte à tou.te.s.",Oui,- - -,,"Twitter
Facebook",,cdntuniv lyon2@gmail.com,,Non,,"Dernière activ ité : 23/11/2021
Pas de réponse",,Oui
DOPAMINES,Confédération d’associations,Association des doctorants MINES ParisTech,"Réseau, solidarité",Générale,MINES,"Sophia-Antipolis, Paris,
Fontainebleau, Evry,
Palaiseau",,"(06), (75), (77), (91)",,"Île-de-France, PACA",,MINES ParisTech,,"DOPAMINES permet de relier les 5 s ites de l'Ecole des Mines ParisTech à savoir Evry,
Fontainebleau, Palaiseau, Paris et Sophia Antipolis. DOPAMINES regroupe ainsi les
associations de chaque site.",Oui,http://dopamines.mines-paristech.fr/,,- - -,,- - -,,Non,,"Contacté v ia le formulaire de
contact du s ite internet le 19/01/23.
Pas de réponse.",,Oui
Enthèse,Association,ENthèSe,"Représentation, Promotion, réseau, événements",Générale,Tous,Lyon,,(69) Rhône,,Auvergne-Rhône-Alpes,,Lyon,,"Association de doctorants basée à Lyon. Diffusion d'informations sur le doctorat et la
thèse, réunions, conférences, réseau professionnel, veille.",Oui,https://enthese.hypotheses.org/,,"Twitter
Facebook",,enthese@ens-lyon.fr,,Non,,Pas de réponse,,Oui
"Les
Cartésiens",Association,Les Cartésiens,"Représentation, Réseau, vulgarisation",Générale,Tous,Paris,,(75) Paris,,Île-de-France,,"Établissements de l’Université
Sorbonne Paris Cité (USPC)",,"Réseau, vulgarisation scientifique, poursuite de la carrière de chercheur,
représentation des jeunes chercheurs, rayonnement de la recherche. Docteurs et
doctorants de Paris.",Oui,http://lescartesiens.parisdescartes.fr/,,"Twitter
Facebook
LinkedIn",,lescartesiens.asso@gmail.com,,Non,,Pas de réponse,,Oui
"Marcel les
Mauss",Collectif,Marcel les Mauss,"Accompagnement, valorisation, réseau",Générale,Sciences sociales,Bordeaux,,(33) Bordeaux,,Nouvelle-Aquitaine,,Université de Bordeaux,,"Le Collectif Marcel Mauss a pour but d’accompagner et de valoriser les activ ités des
jeunes chercheurs et chercheuses en sciences sociales de l’Université de Bordeaux.
Il se donne également pour objectif d’être un pour elles et eux un lieu de rencontre,
d’information et d’échanges culturels et scientifiques, ainsi qu’un relais de leurs intérêts.",Oui,https://cmmauss.hypotheses.org/,,Facebook,,collectifmarcelmauss@gmail.com,,Non,,"Dernière publication en mai 2022.
Pas de réponse.",,Oui
P(TH) AuRA,Association,Paren(Thèse) Auvergne-Rhône-Alpes,Soutien à la rédaction et aux doctorants,Soutien à la rédaction,Tous,- - -,,- - -,,Auvergne-Rhône-Alpes,,- - -,,Antenne de la région Auvergne-Rhône-Alpes.,Non,- - -,,"Twitter
Facebook",,aura.parenthese@gmail.com,,Non,,"Dernière activ ité :
22/09/2022
Pas de réponse",,Oui
P(TH) HdF,Association,Paren(Thèse) Hauts-de-France,Soutien à la rédaction et aux doctorants,Soutien à la rédaction,Tous,- - -,,- - -,,Hauts-de-France,,- - -,,Antenne de la région des Hauts-de-France.,Non,- - -,,Facebook,,parenthese.hdf@gmail.com,,Non,,"Dernière activ ité :
05/01/2022
Pas de réponse",,Oui
Pro-Doc,Association,Pro-Doc,"Réseau, promotion, événements",Générale,Tous,Corte,,(2B) Haute-Corse,,Corse,,"Pasquale Paoli (seule université
de Corse)",,"L'association PRO-DOC a pour activ ité principale de : initier, developper et organiser
des manifestations ayant pour fil conducteur l'insertion professionnelle, les échanges ou
les rencontres entre les doctorants de l'université de Corse Pasquale Paoli ; pérenniser
les projets et manifestation organisées par l'association ; developper les relations entre
les doctorants de l'école doctorale environnement et société ED377, le nom de de
l'entreprise et les collectiv ités locales, et ainsi a plus long terme créer et consolider un
réseau.
L'association PRO-DOC peut être contactée à l'adresse suivante : Ecole Doctorale de
l'Université de Corse, 7, avenue Jean Nicoli, BP 52, 20250 Corte.",Oui,http://pro-doc.over-blog.fr/,,Twitter,,- - -,,Non,,"Contacté le 20/01/23 via le
formulaire de contact sur le s ite
internet.
Pas de réponse.
Dernière activ ité :
03/05/2013",,Oui
SPIBENS,Association,Students and Postdocs of Institut de Biologie de l’Ecole Normale Supérieure,"Réseau, événements",Générale,Sciences et Lettres,Paris,,(75) Paris,,Île-de-France,,"ENS, CNRS",,"Chaque doctorant et post-doctorant de l’institut fait automatiquement partie de
l’association et est invité à partic iper aux évènements et à les organiser. Nous
organisons également des évènements scientifiques. De plus, SPIBENS offre des
services aux doctorants et post-doctorants en représentant leurs intérêts au niveau de
l’institut et en travaillant avec l’administration sur un livret de bienvenue pour les
nouveaux arrivants.",Oui,https://www.biologie.ens.fr/depbio/spip.php?artic le23,,- - -,,spibens_bureau@biologie.ens.fr,,Non,,Pas de réponse,,Oui
DOCTA,Association,DOCTA,"Réseau, événements",Générale,Tous,"Punaauia, Tahiti",,(987) Polynésie française,,Polynésie française,,"Université de la Polynésie
française",,"Association fondée en 2011, Docta regroupe tous les doctorants de l’UPF et co-
organise les Doctoriales, évènement de promotion de la recherche auprès du grand
public.",Oui,https://www.upf.pf/fr/association-docta-doctorants-de-,,- - -,,"Sébastien LONGO (pas plus
d’informations, site n’existe plus)",,?,,"Je n'ai pas trouvé de moyen de
contacter l'association.",,Oui
FAGE,Fédération d'associations,Fédération des Associations Générales Etudiantes,Défense des droits,Défense des droits,Tous,National,,National,,National,,- - -,,"La Fédération des associations générales étudiantes – FAGE – est la première
organisation étudiante représentative en France.  Elle a pour but d’améliorer les
conditions de vie et d’études des jeunes. C’est pourquoi elle déploie des activ ités dans
le champ de la représentation et de la défense des droits. En inventant, en
expérimentant et en gérant des services et des œuvres répondant aux besoins
sociaux non ou mal-satisfaits, elle est également actrice de l’innovation sociale.",Non,https://www.fage.org,,"Twitter
Facebook
Instagram
Linked In
YouTube",,contact@fage.org,,Oui,,,,Non
